Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",32.004000,-122.428000,90.000000,bottom
"C2","22pF","C_0603_1608Metric",28.956000,-119.888000,0.000000,bottom
"C3","1uF","C_0603_1608Metric",19.227800,-132.588000,90.000000,bottom
"C4","0.1uF","C_0603_1608Metric",26.416000,-140.208000,0.000000,bottom
"C5","0.1uF","C_0603_1608Metric",204.216000,-128.016000,90.000000,bottom
"C6","0.1uF","C_0603_1608Metric",38.100000,-129.540000,0.000000,bottom
"C7","10uF","C_0603_1608Metric",26.416000,-124.968000,180.000000,bottom
"C8","22pF","C_0603_1608Metric",200.152000,-120.904000,90.000000,bottom
"C9","22pF","C_0603_1608Metric",194.056000,-120.904000,270.000000,bottom
"C10","1uF","C_0603_1608Metric",188.468000,-132.588000,180.000000,bottom
"C11","0.1uF","C_0603_1608Metric",193.040000,-140.208000,0.000000,bottom
"C14","10uF","C_0603_1608Metric",194.310000,-124.485300,90.000000,bottom
"C15","0.1uF","C_0603_1608Metric",33.020000,-140.208000,180.000000,bottom
"C16","0.1uF","C_0603_1608Metric",200.152000,-140.208000,180.000000,bottom
"D1","SOD123","D_SOD-123",-53.848000,-32.004000,90.000000,bottom
"D2","SOD123","D_SOD-123",-47.625000,-48.895000,270.000000,bottom
"D3","SOD123","D_SOD-123",-42.545000,-67.945000,270.000000,bottom
"D4","SOD123","D_SOD-123",-40.640000,-86.995000,270.000000,bottom
"D5","SOD123","D_SOD-123",-35.560000,-105.410000,270.000000,bottom
"D6","SOD123","D_SOD-123",-42.545000,-125.730000,270.000000,bottom
"D7","SOD123","D_SOD-123",-28.575000,-29.845000,270.000000,bottom
"D8","SOD123","D_SOD-123",-28.575000,-48.895000,270.000000,bottom
"D9","SOD123","D_SOD-123",-19.050000,-67.945000,270.000000,bottom
"D10","SOD123","D_SOD-123",-13.970000,-86.995000,270.000000,bottom
"D11","SOD123","D_SOD-123",-4.445000,-105.410000,270.000000,bottom
"D12","SOD123","D_SOD-123",-18.415000,-125.730000,270.000000,bottom
"D13","SOD123","D_SOD-123",-9.525000,-29.845000,270.000000,bottom
"D14","SOD123","D_SOD-123",-9.525000,-48.895000,270.000000,bottom
"D15","SOD123","D_SOD-123",0.000000,-67.945000,270.000000,bottom
"D16","SOD123","D_SOD-123",5.080000,-86.995000,270.000000,bottom
"D17","SOD123","D_SOD-123",14.605000,-105.410000,270.000000,bottom
"D18","SOD123","D_SOD-123",0.635000,-125.730000,270.000000,bottom
"D19","SOD123","D_SOD-123",9.525000,-29.845000,270.000000,bottom
"D20","SOD123","D_SOD-123",9.525000,-48.895000,270.000000,bottom
"D21","SOD123","D_SOD-123",19.050000,-67.945000,270.000000,bottom
"D22","SOD123","D_SOD-123",23.495000,-86.995000,270.000000,bottom
"D23","SOD123","D_SOD-123",33.655000,-105.410000,270.000000,bottom
"D24","SOD123","D_SOD-123",21.590000,-125.730000,270.000000,bottom
"D25","SOD123","D_SOD-123",28.575000,-29.845000,270.000000,bottom
"D26","SOD123","D_SOD-123",28.575000,-48.895000,270.000000,bottom
"D27","SOD123","D_SOD-123",38.100000,-67.945000,270.000000,bottom
"D28","SOD123","D_SOD-123",43.180000,-86.995000,270.000000,bottom
"D29","SOD123","D_SOD-123",52.705000,-105.410000,270.000000,bottom
"D30","SOD123","D_SOD-123",54.610000,-125.730000,270.000000,bottom
"D31","SOD123","D_SOD-123",47.625000,-29.845000,270.000000,bottom
"D32","SOD123","D_SOD-123",47.625000,-48.895000,270.000000,bottom
"D33","SOD123","D_SOD-123",57.150000,-67.945000,270.000000,bottom
"D34","SOD123","D_SOD-123",61.595000,-86.995000,270.000000,bottom
"D35","SOD123","D_SOD-123",71.755000,-105.410000,270.000000,bottom
"D36","SOD123","D_SOD-123",85.725000,-125.730000,270.000000,bottom
"D37","SOD123","D_SOD-123",66.675000,-29.845000,270.000000,bottom
"D38","SOD123","D_SOD-123",66.675000,-48.895000,270.000000,bottom
"D39","SOD123","D_SOD-123",76.200000,-67.945000,270.000000,bottom
"D40","SOD123","D_SOD-123",80.645000,-86.995000,270.000000,bottom
"D41","SOD123","D_SOD-123",90.805000,-105.410000,270.000000,bottom
"D42","SOD123","D_SOD-123",105.410000,-125.730000,270.000000,bottom
"D43","SOD123","D_SOD-123",79.756000,-29.845000,270.000000,bottom
"D44","SOD123","D_SOD-123",85.725000,-48.895000,270.000000,bottom
"D45","SOD123","D_SOD-123",95.250000,-67.945000,270.000000,bottom
"D46","SOD123","D_SOD-123",99.695000,-86.995000,270.000000,bottom
"D47","SOD123","D_SOD-123",109.855000,-105.410000,270.000000,bottom
"D48","SOD123","D_SOD-123",124.460000,-125.730000,270.000000,bottom
"D49","SOD123","D_SOD-123",190.373000,-29.845000,270.000000,bottom
"D50","SOD123","D_SOD-123",171.323000,-48.895000,270.000000,bottom
"D51","SOD123","D_SOD-123",180.848000,-67.945000,270.000000,bottom
"D52","SOD123","D_SOD-123",166.243000,-87.630000,270.000000,bottom
"D53","SOD123","D_SOD-123",156.718000,-106.680000,270.000000,bottom
"D54","SOD123","D_SOD-123",152.273000,-125.730000,270.000000,bottom
"D55","SOD123","D_SOD-123",209.423000,-29.845000,270.000000,bottom
"D56","SOD123","D_SOD-123",190.373000,-48.895000,270.000000,bottom
"D57","SOD123","D_SOD-123",199.898000,-67.945000,270.000000,bottom
"D58","SOD123","D_SOD-123",185.293000,-87.630000,270.000000,bottom
"D59","SOD123","D_SOD-123",175.768000,-106.680000,270.000000,bottom
"D60","SOD123","D_SOD-123",182.753000,-125.730000,270.000000,bottom
"D61","SOD123","D_SOD-123",228.473000,-29.845000,270.000000,bottom
"D62","SOD123","D_SOD-123",209.423000,-48.895000,270.000000,bottom
"D63","SOD123","D_SOD-123",218.948000,-67.945000,270.000000,bottom
"D64","SOD123","D_SOD-123",204.343000,-87.630000,270.000000,bottom
"D65","SOD123","D_SOD-123",194.818000,-106.680000,270.000000,bottom
"D66","SOD123","D_SOD-123",216.408000,-125.730000,270.000000,bottom
"D67","SOD123","D_SOD-123",247.523000,-29.845000,270.000000,bottom
"D68","SOD123","D_SOD-123",227.838000,-48.895000,270.000000,bottom
"D69","SOD123","D_SOD-123",237.998000,-67.945000,270.000000,bottom
"D70","SOD123","D_SOD-123",223.393000,-87.630000,270.000000,bottom
"D71","SOD123","D_SOD-123",213.868000,-106.680000,270.000000,bottom
"D72","SOD123","D_SOD-123",237.998000,-125.730000,270.000000,bottom
"D73","SOD123","D_SOD-123",265.938000,-29.845000,270.000000,bottom
"D74","SOD123","D_SOD-123",247.523000,-48.895000,270.000000,bottom
"D75","SOD123","D_SOD-123",257.048000,-67.945000,270.000000,bottom
"D76","SOD123","D_SOD-123",242.443000,-87.630000,270.000000,bottom
"D77","SOD123","D_SOD-123",232.918000,-106.680000,270.000000,bottom
"D78","SOD123","D_SOD-123",257.048000,-125.730000,270.000000,bottom
"D79","SOD123","D_SOD-123",285.623000,-29.845000,270.000000,bottom
"D80","SOD123","D_SOD-123",266.573000,-48.895000,270.000000,bottom
"D81","SOD123","D_SOD-123",276.098000,-67.945000,270.000000,bottom
"D82","SOD123","D_SOD-123",261.493000,-87.630000,270.000000,bottom
"D83","SOD123","D_SOD-123",251.968000,-106.680000,270.000000,bottom
"D84","SOD123","D_SOD-123",276.098000,-125.730000,270.000000,bottom
"D85","SOD123","D_SOD-123",298.196000,-32.004000,90.000000,bottom
"D86","SOD123","D_SOD-123",285.623000,-48.895000,270.000000,bottom
"D87","SOD123","D_SOD-123",288.798000,-67.945000,270.000000,bottom
"D88","SOD123","D_SOD-123",280.543000,-87.630000,270.000000,bottom
"D89","SOD123","D_SOD-123",271.018000,-106.680000,270.000000,bottom
"D90","SOD123","D_SOD-123",295.148000,-125.730000,270.000000,bottom
"D91","SOD123","D_SOD-123",315.722000,-31.242000,0.000000,bottom
"D92","SOD123","D_SOD-123",308.356000,-48.260000,270.000000,bottom
"D93","SOD123","D_SOD-123",312.293000,-67.945000,270.000000,bottom
"D94","SOD123","D_SOD-123",311.658000,-87.630000,270.000000,bottom
"D95","SOD123","D_SOD-123",302.133000,-119.380000,0.000000,bottom
"D96","SOD123","D_SOD-123",311.658000,-125.095000,0.000000,bottom
"R1","10k","R_0805_2012Metric",115.824000,-107.188000,90.000000,bottom
"R2","10k","R_0805_2012Metric",163.576000,-72.136000,90.000000,bottom
"R3","22","R_0805_2012Metric",-44.704000,-33.020000,90.000000,bottom
"R4","22","R_0805_2012Metric",-42.672000,-33.020000,90.000000,bottom
"R5","22","R_0805_2012Metric",307.822600,-33.096200,90.000000,bottom
"R6","22","R_0805_2012Metric",309.854600,-33.096200,90.000000,bottom
"R25","10k","R_0805_2012Metric",38.100000,-137.160000,180.000000,bottom
"R67","10k","R_0805_2012Metric",204.724000,-138.938000,90.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",29.718000,-132.588000,0.000000,bottom
"U2","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",196.723000,-132.715000,0.000000,bottom
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",28.956000,-122.428000,180.000000,bottom
"Y2","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",197.104000,-120.904000,180.000000,bottom
